District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
AK-AL,Mary Peltola,(R),"153,778","189,951","357,569",43.0%,53.1%
AL-01,Jerry Carl,(R),"117,136","211,370","331,886",35.3%,63.7%
AL-02,Barry Moore,(R),"107,776","195,953","306,714",35.1%,63.9%
AL-03,Mike Rogers,(R),"109,495","212,012","324,741",33.7%,65.3%
AL-04,Robert Aderholt,(R),"57,133","260,535","320,725",17.8%,81.2%
AL-05,Mo Brooks,(R),"129,812","228,398","364,107",35.7%,62.7%
AL-06,Gary Palmer,(R),"117,582","248,134","370,171",31.8%,67.0%
AL-07,Terri Sewell,(D),"210,689","84,768","297,626",70.8%,28.5%
AR-01,Rick Crawford,(R),"75,898","187,640","271,712",27.9%,69.1%
AR-02,French Hill,(R),"147,552","177,053","333,347",44.3%,53.1%
AR-03,Steve Womack,(R),"118,142","207,781","335,854",35.2%,61.9%
AR-04,Bruce Westerman,(R),"82,340","188,173","278,156",29.6%,67.7%
AZ-01,Tom O'Halleran,(D),"187,182","180,673","373,579",50.1%,48.4%
AZ-02,Ann Kirkpatrick,(D),"213,408","171,803","391,436",54.5%,43.9%
AZ-03,Raúl Grijalva,(D),"174,882","99,539","278,497",62.8%,35.7%
AZ-04,Paul Gosar,(R),"126,024","280,122","411,938",30.6%,68.0%
AZ-05,Andy Biggs,(R),"195,270","262,810","465,598",41.9%,56.4%
AZ-06,David Schweikert,(R),"204,365","222,166","432,328",47.3%,51.4%
AZ-07,Ruben Gallego,(D),"165,129","55,436","224,168",73.7%,24.7%
AZ-08,Debbie Lesko,(R),"181,691","251,443","438,952",41.4%,57.3%
AZ-09,Greg Stanton,(D),"224,192","137,694","368,798",60.8%,37.3%
CA-01,Doug LaMalfa,(R),"148,436","203,557","360,907",41.1%,56.4%
CA-02,Jared Huffman,(D),"294,489","95,658","399,857",73.6%,23.9%
CA-03,John Garamendi,(D),"179,806","139,735","327,612",54.9%,42.7%
CA-04,Tom McClintock,(R),"197,157","240,869","448,596",43.9%,53.7%
CA-05,Mike Thompson,(D),"264,125","92,100","364,567",72.4%,25.3%
CA-06,Doris Matsui,(D),"225,218","87,284","320,576",70.3%,27.2%
CA-07,Ami Bera,(D),"218,137","164,052","391,993",55.6%,41.9%
CA-08,Jay Obernolte,(R),"127,769","158,451","293,165",43.6%,54.0%
CA-09,Jerry McNerney,(D),"180,100","124,102","310,973",57.9%,39.9%
CA-10,Josh Harder,(D),"154,990","146,084","307,948",50.3%,47.4%
CA-11,Mark DeSaulnier,(D),"285,019","90,516","383,481",74.3%,23.6%
CA-12,Nancy Pelosi,(D),"337,517","46,574","392,046",86.1%,11.9%
CA-13,Barbara Lee,(D),"335,474","33,907","377,198",88.9%,9.0%
CA-14,Jackie Speier,(D),"279,708","73,798","360,155",77.7%,20.5%
CA-15,Eric Swalwell,(D),"255,430","94,394","357,230",71.5%,26.4%
CA-16,Jim Costa,(D),"129,458","85,647","220,032",58.8%,38.9%
CA-17,Ro Khanna,(D),"224,903","79,260","310,238",72.5%,25.5%
CA-18,Anna Eshoo,(D),"294,545","82,172","385,683",76.4%,21.3%
CA-19,Zoe Lofgren,(D),"228,232","91,063","325,914",70.0%,27.9%
CA-20,Jimmy Panetta,(D),"226,505","77,969","311,479",72.7%,25.0%
CA-21,David Valadao,(R),"93,560","74,859","172,064",54.4%,43.5%
CA-22,Connie Conway,(R),"146,467","163,584","316,729",46.2%,51.6%
CA-23,Kevin McCarthy,(R),"125,068","176,413","308,922",40.5%,57.1%
